date,1. open,2. high,3. low,4. close,5. volume
2020-08-14 04:01:00,459.47,459.5,459.45,459.5,657.0
2020-08-14 04:04:00,459.21,459.21,459.21,459.21,542.0
2020-08-14 04:06:00,459.48,459.48,459.48,459.48,283.0
2020-08-14 04:09:00,459.25,459.25,459.2,459.2,739.0
2020-08-14 04:11:00,458.33,458.33,458.33,458.33,531.0
2020-08-14 04:14:00,458.52,458.52,458.51,458.51,410.0
2020-08-14 04:16:00,458.97,459.04,458.97,459.04,445.0
2020-08-14 04:18:00,459.04,459.04,459.04,459.04,350.0
2020-08-14 04:22:00,458.6,458.6,458.6,458.6,330.0
2020-08-14 04:23:00,458.51,458.51,458.51,458.51,338.0
2020-08-14 04:30:00,458.08,458.08,457.66,457.66,343.0
2020-08-14 04:31:00,458.42,458.42,458.42,458.42,101.0
2020-08-14 04:44:00,458.35,458.35,458.29,458.29,812.0
2020-08-14 04:48:00,458.09,458.09,458.09,458.09,172.0
2020-08-14 04:57:00,458.11,458.11,458.11,458.11,401.0
2020-08-14 05:04:00,458.1,458.1,458.0,458.0,378.0
2020-08-14 05:14:00,457.43,457.43,457.43,457.43,230.0
2020-08-14 05:15:00,457.36,457.36,457.27,457.27,613.0
2020-08-14 05:17:00,457.6,457.6,457.6,457.6,100.0
2020-08-14 05:22:00,457.86,457.86,457.86,457.86,1465.0
2020-08-14 05:24:00,457.86,457.86,457.84,457.86,624.0
2020-08-14 05:28:00,457.65,457.65,457.65,457.65,275.0
2020-08-14 05:29:00,457.86,457.86,457.86,457.86,945.0
2020-08-14 05:34:00,458.23,458.23,458.23,458.23,813.0
2020-08-14 05:36:00,458.23,458.23,458.23,458.23,223.0
2020-08-14 06:00:00,458.6,458.6,458.6,458.6,214.0
2020-08-14 06:03:00,458.53,458.53,458.53,458.53,251.0
2020-08-14 06:08:00,458.3,458.3,458.27,458.27,575.0
2020-08-14 06:10:00,457.71,457.71,457.67,457.67,3853.0
2020-08-14 06:12:00,457.68,457.7,457.68,457.7,516.0
2020-08-14 06:20:00,458.08,458.08,458.08,458.08,152.0
2020-08-14 06:25:00,458.07,458.07,458.07,458.07,509.0
2020-08-14 06:50:00,458.5,458.5,458.5,458.5,1975.0
2020-08-14 06:51:00,458.63,459.4,458.63,459.4,5116.0
2020-08-14 06:52:00,459.5,459.5,459.42,459.42,512.0
2020-08-14 06:53:00,459.49,459.49,459.49,459.49,343.0
2020-08-14 06:56:00,459.74,459.87,459.74,459.87,656.0
2020-08-14 06:57:00,459.7,459.7,459.7,459.7,742.0
2020-08-14 07:00:00,459.4,459.7,459.4,459.7,754.0
2020-08-14 07:01:00,459.66,459.9,459.02,459.03,9465.0
2020-08-14 07:02:00,459.3,459.5,459.3,459.5,2057.0
2020-08-14 07:03:00,459.25,459.25,459.12,459.23,1036.0
2020-08-14 07:04:00,459.22,459.22,459.0,459.0,2161.0
2020-08-14 07:05:00,458.92,458.92,458.77,458.9,1756.0
2020-08-14 07:06:00,458.7,458.9,458.7,458.9,2015.0
2020-08-14 07:07:00,458.88,458.9,458.85,458.9,897.0
2020-08-14 07:08:00,458.74,458.74,458.51,458.51,1998.0
2020-08-14 07:09:00,458.5,458.55,458.32,458.5,1205.0
2020-08-14 07:10:00,458.31,458.45,458.0,458.41,8225.0
2020-08-14 07:11:00,458.4,458.4,458.13,458.38,1276.0
2020-08-14 07:12:00,458.3,458.4,458.17,458.4,1948.0
2020-08-14 07:13:00,458.5,458.6,458.5,458.6,1054.0
2020-08-14 07:14:00,458.79,458.79,458.79,458.79,353.0
2020-08-14 07:15:00,458.8,458.88,458.56,458.88,3750.0
2020-08-14 07:16:00,458.88,458.88,458.83,458.83,630.0
2020-08-14 07:17:00,458.73,458.73,458.66,458.66,439.0
2020-08-14 07:18:00,458.85,459.0,458.85,459.0,2983.0
2020-08-14 07:19:00,459.02,459.02,459.02,459.02,752.0
2020-08-14 07:20:00,459.0,459.0,459.0,459.0,807.0
2020-08-14 07:21:00,459.0,459.25,459.0,459.25,2115.0
2020-08-14 07:22:00,459.25,459.5,459.25,459.5,2708.0
2020-08-14 07:23:00,459.6,459.65,459.5,459.5,941.0
2020-08-14 07:24:00,459.52,459.6,459.5,459.5,999.0
2020-08-14 07:25:00,459.65,460.56,459.65,460.25,8189.0
2020-08-14 07:26:00,460.43,460.62,460.43,460.5,3074.0
2020-08-14 07:27:00,460.44,460.75,460.44,460.75,5953.0
2020-08-14 07:28:00,460.94,461.02,460.83,461.02,9876.0
2020-08-14 07:29:00,461.25,461.55,461.21,461.33,12182.0
2020-08-14 07:30:00,461.43,461.43,460.83,460.97,6587.0
2020-08-14 07:31:00,460.91,460.97,460.78,460.8,3302.0
2020-08-14 07:32:00,460.76,460.76,460.7,460.75,2686.0
2020-08-14 07:33:00,460.69,460.8,460.69,460.69,4331.0
2020-08-14 07:34:00,460.66,460.7,460.66,460.7,857.0
2020-08-14 07:35:00,460.7,460.85,460.7,460.85,1981.0
2020-08-14 07:36:00,460.8,460.84,460.8,460.84,1029.0
2020-08-14 07:37:00,460.89,460.89,460.78,460.8,1182.0
2020-08-14 07:38:00,460.78,460.78,460.7,460.7,1301.0
2020-08-14 07:39:00,460.7,460.7,460.5,460.5,2338.0
2020-08-14 07:40:00,460.55,460.9,460.55,460.9,3141.0
2020-08-14 07:41:00,460.9,461.23,460.9,461.23,3066.0
2020-08-14 07:42:00,461.2,461.3,461.1,461.3,5090.0
2020-08-14 07:43:00,461.25,461.3,461.25,461.3,2311.0
2020-08-14 07:44:00,461.37,461.45,461.35,461.44,2921.0
2020-08-14 07:45:00,461.44,461.5,461.4,461.46,5902.0
2020-08-14 07:46:00,461.5,461.58,461.18,461.18,5251.0
2020-08-14 07:47:00,461.37,461.37,461.37,461.37,468.0
2020-08-14 07:48:00,461.35,461.48,461.1,461.1,2799.0
2020-08-14 07:49:00,460.97,461.01,460.63,461.01,3003.0
2020-08-14 07:50:00,460.98,461.24,460.79,460.81,8209.0
2020-08-14 07:51:00,460.87,460.87,460.87,460.87,274.0
2020-08-14 07:52:00,461.0,461.0,461.0,461.0,1097.0
2020-08-14 07:53:00,461.02,461.28,461.0,461.0,3585.0
2020-08-14 07:54:00,460.92,460.96,460.92,460.96,1003.0
2020-08-14 07:55:00,461.0,461.0,461.0,461.0,1430.0
2020-08-14 07:56:00,460.94,461.0,460.93,461.0,3761.0
2020-08-14 07:57:00,460.95,460.95,460.92,460.92,705.0
2020-08-14 07:58:00,460.9,460.92,460.9,460.92,520.0
2020-08-14 07:59:00,461.0,461.13,461.0,461.13,7444.0
2020-08-14 08:00:00,461.03,461.19,461.03,461.15,1875.0
2020-08-14 08:01:00,459.1733,461.54,458.3001,461.0,43676.0
2020-08-14 08:02:00,460.9219,460.94,460.8697,460.8697,1199.0
2020-08-14 08:03:00,460.85,460.95,460.82,460.85,7373.0
2020-08-14 08:04:00,460.9484,461.0,460.858,460.9,2891.0
2020-08-14 08:05:00,460.9,461.06300000000005,460.9,460.92,2367.0
2020-08-14 08:06:00,461.1,461.1,460.9,460.92,5478.0
2020-08-14 08:07:00,460.9,460.9475,460.8,460.9475,2570.0
2020-08-14 08:08:00,460.8,460.88,460.6,460.88,6202.0
2020-08-14 08:09:00,460.51599999999996,460.7001,460.51599999999996,460.6,1910.0
2020-08-14 08:10:00,460.66,460.66,460.5,460.6092,4107.0
2020-08-14 08:11:00,460.3537,460.64,460.28,460.47,3644.0
2020-08-14 08:12:00,460.55,460.64,460.52,460.64,2184.0
2020-08-14 08:13:00,460.61,460.66,460.0,460.0,7162.0
2020-08-14 08:14:00,460.59,460.59,460.42,460.42,944.0
2020-08-14 08:15:00,460.4011,460.47,460.4011,460.45,1233.0
2020-08-14 08:16:00,460.3802,460.7373,460.35,460.7132,4155.0
2020-08-14 08:17:00,460.6399,460.6399,460.5,460.5,478.0
2020-08-14 08:19:00,460.5,460.5,460.5,460.5,763.0
2020-08-14 08:20:00,460.52,460.52,460.52,460.52,331.0
2020-08-14 08:21:00,460.63,460.63,460.564,460.564,737.0
2020-08-14 08:22:00,460.6,460.69,460.52,460.52,1773.0
2020-08-14 08:23:00,460.4,460.55,460.4,460.4,2378.0
2020-08-14 08:24:00,460.4,460.4,460.21,460.36,2756.0
2020-08-14 08:25:00,460.16,460.25,460.07,460.15,2977.0
2020-08-14 08:26:00,460.18,460.18,460.18,460.18,657.0
2020-08-14 08:27:00,460.18,460.27,460.18,460.27,1626.0
2020-08-14 08:28:00,460.26,460.5,460.26,460.5,955.0
2020-08-14 08:29:00,460.6,460.64,460.55,460.55,1869.0
2020-08-14 08:30:00,460.5,460.53,460.5,460.53,1607.0
2020-08-14 08:31:00,460.4,460.45,460.0,460.0,9870.0
2020-08-14 08:32:00,460.0,460.49,459.9505,460.49,2607.0
2020-08-14 08:33:00,460.49,461.1999,460.47,461.1999,7024.0
2020-08-14 08:34:00,461.25,461.25,460.93300000000005,461.0,2658.0
2020-08-14 08:35:00,461.0,461.0,460.85,460.85,6573.0
2020-08-14 08:36:00,460.85,460.9,460.85,460.85,4528.0
2020-08-14 08:37:00,460.85,460.85,460.55,460.6201,3967.0
2020-08-14 08:39:00,460.7,460.7,460.58,460.58,1623.0
2020-08-14 08:40:00,460.58,460.6,460.58,460.6,1459.0
2020-08-14 08:41:00,460.5542,460.7,460.5084,460.7,1066.0
2020-08-14 08:42:00,460.7,460.836,460.58,460.836,2667.0
2020-08-14 08:43:00,460.6001,460.7,460.6,460.7,1593.0
2020-08-14 08:44:00,460.55,460.55,460.55,460.55,1266.0
2020-08-14 08:45:00,460.58,460.58,460.43,460.43,904.0
2020-08-14 08:46:00,460.56,460.57,460.34,460.34,2440.0
2020-08-14 08:47:00,460.48,460.5,460.36,460.36,944.0
2020-08-14 08:48:00,460.42,460.42,460.42,460.42,471.0
2020-08-14 08:49:00,460.42,460.42,460.07,460.07,3616.0
2020-08-14 08:50:00,460.19,460.19,460.0842,460.0848,2809.0
2020-08-14 08:51:00,460.1601,460.32,460.1601,460.32,3703.0
2020-08-14 08:52:00,460.3,460.39,460.3,460.36,1898.0
2020-08-14 08:53:00,460.3719,460.38,460.36,460.36,2787.0
2020-08-14 08:54:00,460.38,460.38,460.38,460.38,374.0
2020-08-14 08:55:00,460.37,460.45,460.28,460.31,1551.0
2020-08-14 08:56:00,460.37,460.6,460.36,460.6,3439.0
2020-08-14 08:57:00,460.55,460.6863,460.55,460.6,2173.0
2020-08-14 08:58:00,460.5,460.5,460.5,460.5,387.0
2020-08-14 08:59:00,460.66,460.66,460.66,460.66,756.0
2020-08-14 09:00:00,460.5,460.5,460.48,460.48,994.0
2020-08-14 09:01:00,460.54,460.71,460.3564,460.36,2185.0
2020-08-14 09:02:00,460.55,460.65,460.4291,460.4291,2060.0
2020-08-14 09:03:00,460.36,460.64,460.0,460.0,6430.0
2020-08-14 09:04:00,460.1,460.17199999999997,460.02,460.17199999999997,2172.0
2020-08-14 09:05:00,460.06,460.06,460.0,460.0,3663.0
2020-08-14 09:06:00,459.8,460.01,459.8,460.0,6255.0
2020-08-14 09:07:00,459.86,460.0,459.82,459.82,4808.0
2020-08-14 09:08:00,459.84,459.84,459.5,459.5,4009.0
2020-08-14 09:09:00,459.6,459.7399,459.3373,459.3373,5002.0
2020-08-14 09:10:00,459.3824,459.59,459.3824,459.59,2456.0
2020-08-14 09:11:00,459.59,459.59,459.32,459.32,2455.0
2020-08-14 09:12:00,459.56,459.68,459.4,459.56,7686.0
2020-08-14 09:13:00,459.4,459.43,459.25,459.33,11748.0
2020-08-14 09:14:00,459.33,459.34,459.33,459.33,3552.0
2020-08-14 09:15:00,459.34,459.6,459.34,459.43,5360.0
2020-08-14 09:16:00,459.35,459.37,459.25,459.37,3870.0
2020-08-14 09:17:00,459.4,459.41,459.39,459.39,2895.0
2020-08-14 09:18:00,459.5,459.75,459.45,459.75,3253.0
2020-08-14 09:19:00,459.75,459.95,459.75,459.87,2162.0
2020-08-14 09:20:00,459.66,459.83,459.66,459.83,2143.0
2020-08-14 09:21:00,459.83,459.87,459.7,459.7,1661.0
2020-08-14 09:22:00,459.86,459.98,459.86,459.98,2710.0
2020-08-14 09:23:00,459.81,459.81,459.6,459.65,4654.0
2020-08-14 09:24:00,459.51,459.68,459.5,459.55,2919.0
2020-08-14 09:25:00,459.55,459.6,459.55,459.6,2548.0
2020-08-14 09:26:00,459.6,459.6,459.29,459.29,2294.0
2020-08-14 09:27:00,459.22,459.5,459.1,459.47,2602.0
2020-08-14 09:28:00,459.23,459.23,459.2,459.2,1591.0
2020-08-14 09:29:00,459.0,459.01,458.56,458.7,13059.0
2020-08-14 09:30:00,458.7,459.15,458.55,458.61,13103.0
2020-08-14 09:31:00,459.315,459.43,458.76,458.88,645213.0
2020-08-14 09:32:00,459.0,459.5799,457.81,458.53,202019.0
2020-08-14 09:33:00,458.53,458.83,458.32,458.55,168226.0
2020-08-14 09:34:00,458.63,458.69,457.585,457.76,214068.0
2020-08-14 09:35:00,457.69,457.99,456.66,456.69,290628.0
2020-08-14 09:36:00,456.66,457.36,456.34,457.245,290759.0
2020-08-14 09:37:00,457.29,457.88,457.2,457.25,266188.0
2020-08-14 09:38:00,457.31,458.27,457.25,457.58,204066.0
2020-08-14 09:39:00,457.58,457.79,457.1,457.765,141447.0
2020-08-14 09:40:00,457.75,458.324,457.5,457.85,182390.0
2020-08-14 09:41:00,457.89,457.89,457.13,457.585,123351.0
2020-08-14 09:42:00,457.55,457.765,457.18,457.45,101574.0
2020-08-14 09:43:00,457.48,457.8499,456.84,457.02,167460.0
2020-08-14 09:44:00,457.02,457.28,456.66,456.93,126728.0
2020-08-14 09:45:00,456.977,457.36,456.79,456.975,155081.0
2020-08-14 09:46:00,456.95,457.01,455.73,455.87,305722.0
2020-08-14 09:47:00,455.93,455.93,454.39,454.4501,492781.0
2020-08-14 09:48:00,454.46,454.62,453.89,454.5489,321920.0
2020-08-14 09:49:00,454.5107,455.4,454.5,454.8469,221920.0
2020-08-14 09:50:00,454.8095,454.835,454.2,454.53,158865.0
2020-08-14 09:51:00,454.5488,454.59,453.69,454.1719,238383.0
2020-08-14 09:52:00,454.15,455.33,454.11,454.9104,227401.0
2020-08-14 09:53:00,454.955,455.543,454.955,455.29,212142.0
2020-08-14 09:54:00,455.26,455.38,454.52,455.29,191318.0
2020-08-14 09:55:00,455.29,455.515,454.9,455.11,144108.0
2020-08-14 09:56:00,455.11,455.41,454.75,455.29,117800.0
2020-08-14 09:57:00,455.33,455.8809,455.24,455.65,195459.0
2020-08-14 09:58:00,455.7,456.12,455.57,456.08,174777.0
2020-08-14 09:59:00,456.0774,456.33,455.95099999999996,456.3,187329.0
2020-08-14 10:00:00,456.37,456.39,455.4567,455.52,137105.0
2020-08-14 10:01:00,455.41,456.25,455.4,455.811,127332.0
2020-08-14 10:02:00,455.76,455.7799,455.02,455.68,116964.0
2020-08-14 10:03:00,455.69,456.14,455.4301,455.55,132139.0
2020-08-14 10:04:00,455.58,455.58,454.75,454.78,133754.0
2020-08-14 10:05:00,454.76,455.455,454.72,454.91,123230.0
2020-08-14 10:06:00,454.955,455.425,454.955,455.19,98069.0
2020-08-14 10:07:00,455.2398,455.55,454.8838,455.0696,115767.0
2020-08-14 10:08:00,455.0911,455.49,454.97,455.41,97037.0
2020-08-14 10:09:00,455.4217,455.72,455.32,455.5,110446.0
2020-08-14 10:10:00,455.504,455.565,455.09,455.42199999999997,86734.0
2020-08-14 10:11:00,455.4212,455.6249,455.19,455.5596,96926.0
2020-08-14 10:12:00,455.59,455.97,455.4915,455.8,106304.0
2020-08-14 10:13:00,455.8045,455.8786,455.26,455.28,104164.0
2020-08-14 10:14:00,455.2988,455.3109,454.59,454.61,146742.0
2020-08-14 10:15:00,454.6,454.99,454.5301,454.9387,105477.0
2020-08-14 10:16:00,454.98,455.3899,454.89,455.32,93460.0
2020-08-14 10:17:00,455.33,455.44,454.79,454.95,214466.0
2020-08-14 10:18:00,454.88,454.8984,454.1,454.49,157632.0
