date,1. open,2. high,3. low,4. close,5. volume
2020-08-14 07:01:00,87.0,87.0,87.0,87.0,204.0
2020-08-14 07:52:00,86.88,86.88,86.88,86.88,302.0
2020-08-14 08:11:00,88.33,88.33,88.33,88.33,200.0
2020-08-14 09:31:00,86.56,86.64,86.45,86.54,16490.0
2020-08-14 09:32:00,86.61,86.71,86.54,86.63,1733.0
2020-08-14 09:33:00,86.64,86.93,86.64,86.83,4444.0
2020-08-14 09:34:00,86.7,86.7,86.35,86.35,1481.0
2020-08-14 09:35:00,86.4299,86.4299,86.17,86.35,1978.0
2020-08-14 09:36:00,86.43,86.47,86.16,86.16,3528.0
2020-08-14 09:37:00,86.17,86.36,86.02,86.1,13738.0
2020-08-14 09:38:00,86.07,86.21,86.07,86.21,1754.0
2020-08-14 09:39:00,86.33,86.33,86.1024,86.1024,1655.0
2020-08-14 09:40:00,86.03,86.32,86.0,86.22,2972.0
2020-08-14 09:41:00,86.2,86.24,86.17,86.17,778.0
2020-08-14 09:42:00,86.22,86.22,86.1,86.14,1457.0
2020-08-14 09:43:00,86.25,86.39,86.25,86.39,924.0
2020-08-14 09:44:00,86.3,86.355,86.1662,86.1662,2169.0
2020-08-14 09:45:00,86.3,86.3,86.19,86.19,1415.0
2020-08-14 09:46:00,86.09,86.09,85.98,86.01,2122.0
2020-08-14 09:47:00,85.96,85.965,85.8,85.865,7140.0
2020-08-14 09:48:00,85.81,85.84,85.56,85.56,10116.0
2020-08-14 09:49:00,85.595,85.76,85.595,85.75,5769.0
2020-08-14 09:50:00,85.68,85.79,85.57,85.79,3538.0
2020-08-14 09:51:00,85.85,85.985,85.69,85.7,3537.0
2020-08-14 09:52:00,85.68,85.755,85.6486,85.65,2364.0
2020-08-14 09:53:00,85.66,85.73,85.64,85.71,2916.0
2020-08-14 09:54:00,85.72,86.02,85.72,85.95,2883.0
2020-08-14 09:55:00,85.9899,85.99,85.81,85.87,23988.0
2020-08-14 09:56:00,85.87,85.87,85.61,85.75,11818.0
2020-08-14 09:57:00,85.71,85.825,85.67,85.825,4379.0
2020-08-14 09:58:00,85.84,85.935,85.84,85.845,4862.0
2020-08-14 09:59:00,85.86,85.93,85.81,85.92,1632.0
2020-08-14 10:00:00,85.92,85.98,85.86,85.96,9590.0
2020-08-14 10:01:00,85.86,86.12,85.83,86.055,5606.0
2020-08-14 10:02:00,86.0,86.1,85.93,86.08,3836.0
2020-08-14 10:03:00,86.14,86.14,86.01,86.01,1347.0
2020-08-14 10:04:00,86.0088,86.06,85.94,85.94,614.0
2020-08-14 10:05:00,85.96,85.965,85.91,85.91,2591.0
2020-08-14 10:06:00,85.8273,86.01,85.78,86.005,4902.0
2020-08-14 10:07:00,86.0,86.005,85.845,85.845,1737.0
2020-08-14 10:08:00,85.87,85.93,85.84,85.9299,5128.0
2020-08-14 10:09:00,85.9275,85.96,85.84,85.85,7146.0
2020-08-14 10:10:00,85.87,86.01,85.87,85.9501,3935.0
2020-08-14 10:11:00,86.01,86.04,85.88,85.89,3916.0
2020-08-14 10:12:00,85.875,85.91,85.75,85.75,9621.0
2020-08-14 10:13:00,85.71,85.76,85.68,85.73,3071.0
2020-08-14 10:14:00,85.76,85.76,85.67,85.67,2088.0
2020-08-14 10:15:00,85.63,85.6478,85.58,85.605,1190.0
2020-08-14 10:16:00,85.64,85.76,85.615,85.76,4385.0
2020-08-14 10:17:00,85.75,85.75,85.69,85.74,1146.0
2020-08-14 10:18:00,85.71,85.77,85.68,85.77,2367.0
2020-08-14 10:19:00,85.8,85.87,85.74,85.8,7811.0
2020-08-14 10:20:00,85.81,85.84,85.62,85.63,5124.0
2020-08-14 10:21:00,85.67,85.72,85.53,85.53,3331.0
2020-08-14 10:22:00,85.51,85.595,85.44,85.54,6069.0
2020-08-14 10:23:00,85.62,85.7916,85.62,85.7916,3687.0
2020-08-14 10:24:00,85.74,86.06,85.74,86.055,18260.0
2020-08-14 10:25:00,86.01,86.24,86.01,86.24,15015.0
2020-08-14 10:26:00,86.35,86.35,86.2599,86.2861,4328.0
2020-08-14 10:27:00,86.28,86.29,86.19,86.2,3772.0
2020-08-14 10:28:00,86.26,86.31,86.22,86.31,2729.0
2020-08-14 10:29:00,86.33,86.35,86.17,86.35,4444.0
2020-08-14 10:30:00,86.4,86.45,86.255,86.34,3090.0
2020-08-14 10:31:00,86.31,86.31,86.2101,86.26,2654.0
2020-08-14 10:32:00,86.245,86.245,86.17,86.19,1772.0
2020-08-14 10:33:00,86.17,86.23,86.15,86.23,3139.0
2020-08-14 10:34:00,86.27,86.47,86.27,86.33,14289.0
