date,1. open,2. high,3. low,4. close,5. volume
2020-08-14 04:17:00,30.5,30.5,30.47,30.47,641.0
2020-08-14 04:21:00,30.35,30.35,30.35,30.35,350.0
2020-08-14 04:26:00,30.5,30.5,30.5,30.5,170.0
2020-08-14 05:07:00,30.4,30.4,30.37,30.37,2250.0
2020-08-14 05:10:00,30.5,30.5,30.5,30.5,100.0
2020-08-14 05:23:00,30.5,30.5,30.5,30.5,250.0
2020-08-14 05:24:00,30.33,30.33,30.32,30.32,400.0
2020-08-14 05:55:00,30.45,30.52,30.45,30.52,1146.0
2020-08-14 05:57:00,30.45,30.45,30.45,30.45,103.0
2020-08-14 06:42:00,30.5,30.5,30.5,30.5,100.0
2020-08-14 06:49:00,30.6,30.6,30.59,30.59,1762.0
2020-08-14 06:59:00,30.58,30.58,30.58,30.58,250.0
2020-08-14 07:01:00,30.58,30.58,30.5,30.5,892.0
2020-08-14 07:04:00,30.54,30.54,30.54,30.54,500.0
2020-08-14 07:08:00,30.49,30.49,30.49,30.49,4995.0
2020-08-14 07:09:00,30.46,30.46,30.46,30.46,270.0
2020-08-14 07:17:00,30.44,30.44,30.44,30.44,819.0
2020-08-14 07:19:00,30.435,30.435,30.435,30.435,100.0
2020-08-14 07:20:00,30.4,30.4,30.36,30.36,462.0
2020-08-14 07:22:00,30.36,30.36,30.36,30.36,4098.0
2020-08-14 07:34:00,30.44,30.44,30.44,30.44,500.0
2020-08-14 07:38:00,30.44,30.44,30.44,30.44,300.0
2020-08-14 07:41:00,30.44,30.44,30.44,30.44,4726.0
2020-08-14 08:01:00,30.49,30.59,30.36,30.42,18084.0
2020-08-14 08:10:00,30.48,30.48,30.48,30.48,500.0
2020-08-14 08:12:00,30.46,30.46,30.46,30.46,440.0
2020-08-14 08:16:00,30.4899,30.5,30.4899,30.5,5361.0
2020-08-14 08:17:00,30.5,30.5,30.5,30.5,690.0
2020-08-14 08:20:00,30.5,30.5,30.5,30.5,3184.0
2020-08-14 08:24:00,30.56,30.56,30.55,30.55,755.0
2020-08-14 08:25:00,30.5001,30.5001,30.5,30.5,1180.0
2020-08-14 08:29:00,30.49,30.49,30.49,30.49,548.0
2020-08-14 08:32:00,30.49,30.49,30.49,30.49,180.0
2020-08-14 08:33:00,30.49,30.49,30.49,30.49,675.0
2020-08-14 08:35:00,30.46,30.46,30.46,30.46,225.0
2020-08-14 08:36:00,30.47,30.47,30.47,30.47,100.0
2020-08-14 08:41:00,30.5,30.5,30.42,30.46,2932.0
2020-08-14 08:42:00,30.43,30.43,30.43,30.43,588.0
2020-08-14 08:45:00,30.43,30.43,30.43,30.43,286.0
2020-08-14 08:49:00,30.4,30.4,30.4,30.4,3397.0
2020-08-14 08:50:00,30.46,30.46,30.45,30.45,2726.0
2020-08-14 08:55:00,30.4499,30.4499,30.4499,30.4499,1010.0
2020-08-14 08:58:00,30.33,30.33,30.33,30.33,795.0
2020-08-14 08:59:00,30.3998,30.45,30.35,30.4,1914.0
2020-08-14 09:00:00,30.3999,30.3999,30.3999,30.3999,327.0
2020-08-14 09:01:00,30.4,30.4,30.4,30.4,115.0
2020-08-14 09:02:00,30.35,30.4,30.35,30.4,852.0
2020-08-14 09:05:00,30.3999,30.3999,30.3999,30.3999,421.0
2020-08-14 09:06:00,30.35,30.39,30.33,30.33,1141.0
2020-08-14 09:07:00,30.39,30.39,30.39,30.39,1061.0
2020-08-14 09:08:00,30.32,30.32,30.32,30.32,311.0
2020-08-14 09:09:00,30.33,30.33,30.33,30.33,115.0
2020-08-14 09:10:00,30.32,30.3201,30.31,30.31,3100.0
2020-08-14 09:11:00,30.39,30.39,30.39,30.39,555.0
2020-08-14 09:14:00,30.32,30.32,30.32,30.32,616.0
2020-08-14 09:18:00,30.38,30.38,30.38,30.38,316.0
2020-08-14 09:23:00,30.4,30.4,30.39,30.39,493.0
2020-08-14 09:24:00,30.39,30.39,30.39,30.39,206.0
2020-08-14 09:27:00,30.38,30.38,30.38,30.38,303.0
2020-08-14 09:30:00,30.3822,30.3822,30.38,30.38,471.0
2020-08-14 09:31:00,30.4,30.47,30.37,30.4423,421980.0
