date,open,high,low,close,volume
2020-09-18 09:30:00,97.31,97.31,97.31,97.31,502.0
2020-09-18 09:31:00,97.31,97.31,96.66,96.78,175215.0
2020-09-18 09:32:00,96.66,96.6922,96.66,96.6922,1008.0
2020-09-18 09:33:00,96.15,96.37,96.15,96.21,1042.0
2020-09-18 09:34:00,96.37,96.8125,96.28,96.6763,4219.0
2020-09-18 09:35:00,96.705,96.705,96.47,96.47,2718.0
2020-09-18 09:36:00,96.615,96.77,96.46,96.64,2143.0
2020-09-18 09:37:00,96.45,96.49,96.24,96.24,733.0
2020-09-18 09:38:00,96.29,96.35,96.26,96.26,944.0
2020-09-18 09:39:00,96.23,96.41,96.0601,96.0601,2998.0
2020-09-18 09:40:00,96.0601,96.41,96.0601,96.28,2615.0
2020-09-18 09:41:00,96.13,96.15,95.87,95.87,2059.0
2020-09-18 09:42:00,95.93,95.95,95.83,95.89,1751.0
2020-09-18 09:43:00,95.92,95.97,95.71,95.86,2193.0
2020-09-18 09:44:00,95.72,95.85,95.6601,95.84,2935.0
2020-09-18 09:45:00,95.8448,95.8448,95.73,95.8199,736.0
2020-09-18 09:46:00,95.9,95.9,95.78,95.79,2238.0
2020-09-18 09:47:00,95.62,95.625,95.49,95.6,3070.0
2020-09-18 09:48:00,95.54,95.54,95.29,95.29,3240.0
2020-09-18 09:49:00,95.32,95.32,95.18,95.18,1589.0
2020-09-18 09:50:00,95.24,95.26,94.96,94.96,4385.0
2020-09-18 09:51:00,94.95,94.98,94.71,94.81,4277.0
2020-09-18 09:52:00,94.92,94.97,94.7,94.7,3773.0
2020-09-18 09:53:00,94.78,94.95,94.77,94.95,5250.0
2020-09-18 09:54:00,94.92,95.065,94.92,95.05,3011.0
2020-09-18 09:55:00,95.05,95.06,94.7107,94.7107,1980.0
2020-09-18 09:56:00,94.68,94.85,94.67,94.83,3332.0
2020-09-18 09:57:00,94.83,94.94,94.82,94.94,1691.0
2020-09-18 09:58:00,94.94,94.94,94.71,94.71,1828.0
2020-09-18 09:59:00,94.66,94.71,94.51,94.51,2475.0
2020-09-18 10:00:00,94.61,94.65,94.465,94.61,5225.0
2020-09-18 10:01:00,94.68,95.05,94.65,95.05,9249.0
2020-09-18 10:02:00,95.125,95.18,95.02,95.02,1848.0
2020-09-18 10:03:00,95.0,95.01,94.97,94.97,1542.0
2020-09-18 10:04:00,95.07,95.14,94.98,95.09,1975.0
2020-09-18 10:06:00,95.03,95.03,94.805,94.83,3666.0
2020-09-18 10:07:00,94.89,94.98,94.86,94.97,1811.0
2020-09-18 10:08:00,95.02,95.19,95.005,95.005,2414.0
2020-09-18 10:09:00,95.12,95.34,95.11,95.29,4397.0
2020-09-18 10:10:00,95.28,95.28,95.15,95.21,1589.0
2020-09-18 10:11:00,95.09,95.09,94.65,94.65,4483.0
2020-09-18 10:12:00,94.61,94.79,94.52,94.66,5717.0
2020-09-18 10:13:00,94.68,94.75,94.53,94.58,9212.0
2020-09-18 10:14:00,94.59,94.7,94.59,94.65,2432.0
2020-09-18 10:15:00,94.65,94.9,94.645,94.9,6497.0
2020-09-18 10:16:00,94.87,95.0,94.87,94.92,4553.0
2020-09-18 10:17:00,94.96,95.03,94.87,94.91,4025.0
2020-09-18 10:18:00,94.94,95.0,94.93,94.96,2195.0
2020-09-18 10:19:00,94.93,94.93,94.68,94.825,6927.0
2020-09-18 10:20:00,94.8,94.84,94.67,94.7,5739.0
2020-09-18 10:21:00,94.725,94.76,94.63,94.63,3558.0
2020-09-18 10:22:00,94.66,94.92,94.64,94.92,5893.0
